Title,Year,Type,Genres,Platform,Rating,Language
Apna Part 2 83,1996,Movie,"Drama, Crime, Comedy",Planet Marathi,4.2,Hindi
Mauli Forever 73,2024,Movie,"Sci-Fi, Drama",Netflix,6.3,Marathi
Pranayam Forever 37,2026,Movie,"Crime, Mystery, Drama",Hulu,0.0,Malayalam
Raja Chronicles 88,1998,Movie,Biography,Apple TV+,7.6,Kannada
Simham Story 73,1995,TV Series,Romance,Apple TV+,8.4,Telugu
Nayak Chronicles 1,2023,TV Series,"Romance, Horror",Disney+,6.1,Kannada
Legacy of Story 21,2016,TV Series,"Romance, Animation, History",Theatrical,5.4,English
Jung Part 1 68,2012,TV Series,Comedy,SonyLIV,5.8,Hindi
Kahaani Part 1 71,2018,Movie,"Animation, Horror",MX Player,9.1,Hindi
Swapna Forever 17,2024,Movie,"Animation, Crime, Romance",Apple TV+,7.8,Marathi
Swapna Legacy 70,2023,Movie,Thriller,Planet Marathi,4.6,Marathi
Safar Part 1 38,1991,Movie,"Thriller, Biography, Sci-Fi",Netflix,9.3,Hindi
Raaz Part 1 96,1994,TV Series,"Romance, Biography, Sci-Fi",Disney+,5.9,Hindi
Aai Origin 45,1998,TV Series,Crime,Disney+,6.1,Marathi
Dharma Evolution 3,1990,Movie,Biography,HBO Max,8.3,Kannada
Apna Part 1 87,2004,TV Series,"Sci-Fi, Crime",Disney+,5.1,Hindi
Nayakan Part 2 96,1990,Movie,History,Hulu,8.4,Tamil
Nayak Evolution 73,2006,TV Series,"Action, Drama, Comedy",Apple TV+,6.1,Kannada
Apna Part 1 5,1996,TV Series,"Animation, Sci-Fi, Drama",Theatrical,7.4,Hindi
Nayakudu Forever 92,2003,Movie,"Thriller, History",MX Player,4.3,Telugu
Drishyam Story 60,2016,TV Series,"Romance, Thriller, Sci-Fi",Planet Marathi,4.2,Malayalam
Jung Evolution 44,2025,TV Series,"History, Biography, Drama",Apple TV+,0.0,Hindi
Empire of Returns 37,2011,TV Series,"Comedy, Action",Disney+,8.3,English
Vat Evolution 57,2000,Movie,"Sci-Fi, Mystery, Animation",Planet Marathi,6.0,Marathi
Kadhal Forever 71,2012,TV Series,"Mystery, Drama",Netflix,9.1,Tamil
Journey to Chronicles 97,2009,TV Series,Thriller,Netflix,4.8,English
Simham Rebirth 64,2017,Movie,"Comedy, History",Apple TV+,5.3,Telugu
